house,year,name_jp,district,districttype,party_jp,party_id,party_en,result,experience,experience_lab,female,gender_lab,age,age_group,borninku,home_lab,educ_type,educ_lab,dynastic,dynastic_lab,busi_emp,busi_exec,celeb,bcrat,localbcrat,pref_assy,pref_gov,sec,magnitude,city_assy,anylocal_assy,mayor,district_jp,kana
HC,2013,金城竜郎,Okinawa,SMD,幸福実現党,99,Other,0,0,No experience,0,Male,49,40-49,1,Born inside district,2,Private university,0,None,0,0,0,0,1,0,0,0,1,0,0,0,沖縄選挙区,キンジョウ タツロウ
HC,2013,糸数慶子,Okinawa,SMD,諸派,99,Other,1,4,"Currently in office, 2 terms",1,Female,65,60-69,1,Born inside district,0,High school,0,None,1,0,0,0,0,1,0,0,1,0,1,0,沖縄選挙区,イトカズ ケイコ
HC,2013,安里政晃,Okinawa,SMD,自民党,1,LDP,0,0,No experience,0,Male,45,40-49,1,Born inside district,0,High school,2,National-level elected politician,0,0,0,0,0,0,0,0,1,0,0,0,沖縄選挙区,アサト マサアキ
HC,2013,関根敏伸,Iwate,SMD,生活の党,36,PLP,0,0,No experience,0,Male,57,50-59,1,Born inside district,1,Local public university,0,None,0,1,0,0,0,1,0,0,1,0,1,0,岩手選挙区,セキネ トシノブ
HC,2013,吉田晴美,Iwate,SMD,民主党,16,DPJ,0,0,No experience,1,Female,41,40-49,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,1,1,0,0,0,岩手選挙区,ヨシダ ハルミ
HC,2013,菊池幸夫,Iwate,SMD,共産党,5,JCP,0,0,No experience,0,Male,54,50-59,0,Born outside district,0,High school,0,None,0,0,0,0,0,0,0,0,1,0,0,0,岩手選挙区,キクチ ユキオ
HC,2013,田中真一,Iwate,SMD,自民党,1,LDP,0,0,No experience,0,Male,46,40-49,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,1,1,0,0,0,岩手選挙区,タナカ シンイチ
HC,2013,平野達男,Iwate,SMD,無所属,10,Independent,1,4,"Currently in office, 2 terms",0,Male,59,50-59,1,Born inside district,3,University of Tokyo,0,None,0,0,0,1,0,0,0,0,1,0,0,0,岩手選挙区,ヒラノ タツオ
HC,2013,高橋敬子,Iwate,SMD,幸福実現党,99,Other,0,0,No experience,1,Female,51,50-59,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,岩手選挙区,タカハシ ケイコ
HC,2013,吉田里江,Gifu,SMD,民主党,16,DPJ,0,0,No experience,1,Female,47,40-49,0,Born outside district,1,Local public university,0,None,0,1,0,0,0,0,0,1,1,0,0,0,岐阜選挙区,ヨシダ リエ
